200,3,3,1,2,1,1,0,10500000
200,3,3,1,2,5,1,1,14000000
350,4,4,2,2,1,1,1,14500000
150,3,3,1,2,1,1,1,15000000
360,3,3,1,2,2,1,1,85000000
500,4,6,1,2,1,0,1,80000000
500,4,6,1,2,1,0,1,97500000
200,3,4,1,2,1,1,0,16000000
"1,000",6,7,2,1,4,2,1,260000000
"1,556",10,10,2,2,4,1,2,220000000
"1,000",5,7,2,2,3,1,1,180000000
350,4,4,1,2,1,1,1,2500000
235,3,3,1,2,1,1,1,9500000
500,4,4,1,2,6,2,2,73000000
500,6,7,2,2,3,2,1,104000000
275,4,5,2,2,1,1,1,12500000
275,4,5,2,2,1,1,2,12500000
152,2,2,1,2,1,1,1,4300000
125,2,2,1,2,1,1,1,10500000
200,3,3,1,2,1,1,0,10400000
200,3,3,1,2,1,1,0,10900000
555,7,7,2,2,1,0,0,72500000
775,7,7,2,2,3,1,1,115000000
775,7,7,4,2,3,1,1,115000000
450,8,6,2,2,1,0,1,66000000
200,3,3,1,2,2,1,1,18800000
200,3,3,1,2,1,1,0,18600000
200,2,2,1,2,1,1,1,18000000
120,4,4,1,2,0,0,0,12500000
350,4,5,1,2,1,1,1,20000000
150,3,3,1,2,1,0,1,23500000
100,4,4,1,2,0,0,1,35000000
200,4,4,1,2,1,1,0,19000000
600,4,5,2,2,1,1,1,135000000
200,3,3,1,2,1,1,0,18000000
200,3,3,1,2,1,1,0,17500000
275,4,5,2,2,1,1,2,12500000
125,3,3,2,1,1,1,1,6642000
275,4,5,1,2,1,1,1,12500000
500,6,7,1,2,2,0,1,110000000
"1,000",7,9,2,2,2,1,1,260000000
200,3,3,1,2,1,1,0,10300000
200,3,3,1,2,1,1,0,10900000
227,3,3,1,2,1,0,1,10700000
200,3,3,1,2,1,1,0,10900000
600,6,6,1,2,1,0,0,80000000
500,8,8,1,2,1,0,1,80000000
275,3,3,1,2,1,1,1,9205000
275,3,3,1,1,1,1,1,9205000
272,5,5,1,2,1,0,1,31200000
125,3,3,1,2,1,1,1,10000000
200,3,4,1,2,1,1,0,30000000
500,6,6,2,2,3,1,1,75000000
500,6,6,2,2,4,2,2,117000000
500,4,5,2,2,3,2,1,113000000
200,3,3,1,2,2,1,1,18500000
500,4,6,1,2,1,0,1,80000000
400,6,6,2,2,2,1,1,36000000
666,5,6,3,2,4,2,2,97500000
200,3,3,1,2,1,1,0,10300000
200,3,3,1,2,1,1,0,10500000
125,3,3,1,2,1,1,1,9700000
200,3,3,1,2,1,1,1,8100000
200,3,4,1,2,1,1,0,7250000
350,4,4,1,2,1,1,1,3500000
200,4,4,1,2,1,1,0,15500000
